"ID","xcoord","ycoord"
"0","540508.1346153846","627909.5576923077"
"1","540478.4","628246.2"
"2","540345.2957746478","628136.4366197183"
"3","540498.8552631579","627873.6184210526"
"4","540401.5","628352.0"
"5","540552.0","627905.3846153846"
"6","540370.25","627799.6617647059"
"7","540529.6","628331.4"
"8","540515.2972972973","627951.6216216217"
"9","540569.7142857143","628303.0714285715"
"10","540527.6","628339.2"
"11","540546.695652174","627866.8260869565"
"12","540424.7323943662","628160.352112676"
"13","540416.8367346938","627961.3673469388"
"14","540207.0769230769","628069.6153846154"
"15","540374.380952381","627990.5714285715"
"16","540452.9871794871","627867.8717948718"
"17","540378.4247787611","628167.2123893806"
"18","540417.8095238095","628032.2857142857"
"19","540506.9459459459","628273.472972973"
"20","540245.0","627992.5"
"21","540420.7941176471","628181.8921568628"
"22","540601.0","628352.5"
"23","540540.1176470588","628103.0588235294"
"24","540507.0","628260.5"
"25","540400.3142857143","628018.4428571429"
"26","540237.125","628078.5"
"27","540412.8","628181.0"
"28","540586.0","628288.5"
"29","540266.5","627810.0"
"30","540539.7142857143","628278.7301587302"
"31","540489.6571428571","628188.2285714286"
"32","540341.2083333334","627586.9166666666"
"33","540499.5","628337.5"
"34","540537.7222222222","628298.4444444445"
"35","540440.309859155","628110.1126760563"
"36","540227.0","628118.6363636364"
"37","540224.6666666666","628109.0833333334"
"38","540483.0","628251.5"
"39","540570.6222222223","628288.0"
"40","540460.4","627918.9"
"41","540309.0","627970.5"
"42","540431.25","628162.0"
"43","540514.0","627908.5"
"44","540355.0","628146.5"
