ID,ROAD_NAME,ROAD_NO,ROAD_TYPE,ROAD_WIDTH,LENGTH,xcoord,ycoord
3606,,,Pucca,0,5405.94500,540308.40157,625924.86160
3606,,,Pucca,0,5405.94500,540311.70532,625923.75787
3606,,,Pucca,0,5405.94500,540315.77000,625923.48000
3606,,,Pucca,0,5405.94500,540367.94266,625915.52042
3606,,,Pucca,0,5405.94500,540424.66368,625907.28295
3606,,,Pucca,0,5405.94500,540428.69529,625906.35009
3606,,,Pucca,0,5405.94500,540430.47768,625905.67165
3606,,,Pucca,0,5405.94500,540432.02000,625903.13000
3606,,,Pucca,0,5405.94500,540433.22000,625897.64000
3606,,,Pucca,0,5405.94500,540432.14000,625892.60000
3606,,,Pucca,0,5405.94500,540426.90000,625882.32000
3606,,,Pucca,0,5405.94500,540410.43000,625853.32000
3606,,,Pucca,0,5405.94500,540410.20215,625851.37736
3606,,,Pucca,0,5405.94500,540410.44413,625850.92004
3606,,,Pucca,0,5405.94500,540424.18327,625851.00092
3606,,,Pucca,0,5405.94500,540440.92691,625853.19016
3606,,,Pucca,0,5405.94500,540482.18332,625861.28122
3606,,,Pucca,0,5405.94500,540488.43761,625862.40571
3606,,,Pucca,0,5405.94500,540491.01479,625863.95202
3606,,,Pucca,0,5405.94500,540491.90109,625864.88707
3606,,,Pucca,0,5405.94500,540492.33146,625865.69999
3606,,,Pucca,0,5405.94500,540493.17754,625867.93606
3606,,,Pucca,0,5405.94500,540503.24349,625840.82254
3606,,,Pucca,0,5405.94500,540502.59816,625841.37598
3606,,,Pucca,0,5405.94500,540501.99320,625841.47012
3606,,,Pucca,0,5405.94500,540486.71243,625838.12808
3606,,,Pucca,0,5405.94500,540444.72688,625829.89856
3606,,,Pucca,0,5405.94500,540425.78913,625827.41897
3606,,,Pucca,0,5405.94500,540401.17770,625827.26270
3606,,,Pucca,0,5405.94500,540392.29000,625795.25000
3606,,,Pucca,0,5405.94500,540385.63000,625773.61000
3606,,,Pucca,0,5405.94500,540375.84000,625755.13000
3606,,,Pucca,0,5405.94500,540361.14759,625734.87661
3606,,,Pucca,0,5405.94500,540358.38939,625732.35038
3606,,,Pucca,0,5405.94500,540338.71150,625717.30526
3606,,,Pucca,0,5405.94500,540336.37528,625720.10517
3606,,,Pucca,0,5405.94500,540347.49356,625730.10195
3606,,,Pucca,0,5405.94500,540353.99549,625735.65754
3606,,,Pucca,0,5405.94500,540371.78000,625757.60000
3606,,,Pucca,0,5405.94500,540379.55245,625772.28860
3606,,,Pucca,0,5405.94500,540380.11415,625773.35013
3606,,,Pucca,0,5405.94500,540381.22000,625775.44000
3606,,,Pucca,0,5405.94500,540387.74000,625796.60000
3606,,,Pucca,0,5405.94500,540395.85000,625824.86000
3606,,,Pucca,0,5405.94500,540396.19890,625827.33338
3606,,,Pucca,0,5405.94500,540380.02097,625829.17281
3606,,,Pucca,0,5405.94500,540347.79199,625835.46139
3606,,,Pucca,0,5405.94500,540323.21449,625841.58582
3606,,,Pucca,0,5405.94500,540321.41382,625837.96382
3606,,,Pucca,0,5405.94500,540322.33647,625835.16122
3606,,,Pucca,0,5405.94500,540325.93560,625825.16364
3606,,,Pucca,0,5405.94500,540330.98535,625810.73577
3606,,,Pucca,0,5405.94500,540332.62975,625795.89608
3606,,,Pucca,0,5405.94500,540333.35000,625756.40242
3606,,,Pucca,0,5405.94500,540333.39000,625720.47832
3606,,,Pucca,0,5405.94500,540332.82998,625682.03708
3606,,,Pucca,0,5405.94500,540332.06999,625595.67814
3606,,,Pucca,0,5405.94500,540332.18793,625525.54530
3606,,,Pucca,0,5405.94500,540332.20870,625524.13337
3606,,,Pucca,0,5405.94500,540332.24170,625511.63310
3606,,,Pucca,0,5405.94500,540332.52384,625442.61498
3606,,,Pucca,0,5405.94500,540333.28983,625440.91058
3606,,,Pucca,0,5405.94500,540334.50000,625440.53000
3606,,,Pucca,0,5405.94500,540340.70000,625441.69000
3606,,,Pucca,0,5405.94500,540346.98000,625445.32000
3606,,,Pucca,0,5405.94500,540365.18000,625460.08000
3606,,,Pucca,0,5405.94500,540371.67906,625465.58185
3606,,,Pucca,0,5405.94500,540380.30000,625472.88000
3606,,,Pucca,0,5405.94500,540410.02000,625489.32000
3606,,,Pucca,0,5405.94500,540416.98000,625492.84000
3606,,,Pucca,0,5405.94500,540428.75401,625496.44859
3606,,,Pucca,0,5405.94500,540440.86681,625497.84683
3606,,,Pucca,0,5405.94500,540440.35848,625512.71435
3606,,,Pucca,0,5405.94500,540438.66312,625557.43248
3606,,,Pucca,0,5405.94500,540438.29174,625570.22273
3606,,,Pucca,0,5405.94500,540382.45745,625568.29216
3606,,,Pucca,0,5405.94500,540382.28467,625573.28917
3606,,,Pucca,0,5405.94500,540438.14662,625575.22070
3606,,,Pucca,0,5405.94500,540437.45676,625598.97954
3606,,,Pucca,0,5405.94500,540438.45184,625599.03769
3606,,,Pucca,0,5405.94500,540438.54084,625626.54947
3606,,,Pucca,0,5405.94500,540442.54082,625626.53653
3606,,,Pucca,0,5405.94500,540442.45261,625599.26949
3606,,,Pucca,0,5405.94500,540444.35210,625557.70393
3606,,,Pucca,0,5405.94500,540446.01705,625512.48817
3606,,,Pucca,0,5405.94500,540446.31319,625501.95303
3606,,,Pucca,0,5405.94500,540446.48334,625500.01445
3606,,,Pucca,0,5405.94500,540451.29912,625497.99743
3606,,,Pucca,0,5405.94500,540467.98000,625497.60000
3606,,,Pucca,0,5405.94500,540471.22699,625497.57132
3606,,,Pucca,0,5405.94500,540490.62000,625497.40000
3606,,,Pucca,0,5405.94500,540545.86000,625494.52000
3606,,,Pucca,0,5405.94500,540586.54000,625493.20000
3606,,,Pucca,0,5405.94500,540598.79644,625493.31069
3606,,,Pucca,0,5405.94500,540602.22978,625494.01823
3606,,,Pucca,0,5405.94500,540603.10214,625494.96395
3606,,,Pucca,0,5405.94500,540607.31526,625485.38730
3606,,,Pucca,0,5405.94500,540586.61225,625485.20033
3606,,,Pucca,0,5405.94500,540545.60055,625486.52421
3606,,,Pucca,0,5405.94500,540490.37629,625489.40184
3606,,,Pucca,0,5405.94500,540467.90933,625489.60031
3606,,,Pucca,0,5405.94500,540451.56976,625489.96872
3606,,,Pucca,0,5405.94500,540447.05351,625490.06961
3606,,,Pucca,0,5405.94500,540444.06075,625490.13601
3606,,,Pucca,0,5405.94500,540431.24835,625489.08434
3606,,,Pucca,0,5405.94500,540420.05105,625485.42824
3606,,,Pucca,0,5405.94500,540413.76270,625482.24793
3606,,,Pucca,0,5405.94500,540384.86491,625466.26275
3606,,,Pucca,0,5405.94500,540370.34899,625453.97414
3606,,,Pucca,0,5405.94500,540351.52938,625438.70935
3606,,,Pucca,0,5405.94500,540343.51762,625434.07835
3606,,,Pucca,0,5405.94500,540334.34579,625432.36233
3606,,,Pucca,0,5405.94500,540334.35220,625428.85294
3606,,,Pucca,0,5405.94500,540337.73691,625427.72131
3606,,,Pucca,0,5405.94500,540337.58639,625396.36199
3606,,,Pucca,0,5405.94500,540337.56156,625392.35982
3606,,,Pucca,0,5405.94500,540337.05685,625361.99611
3606,,,Pucca,0,5405.94500,540333.01641,625327.53904
3606,,,Pucca,0,5405.94500,540325.33583,625282.56869
3606,,,Pucca,0,5405.94500,540318.28583,625247.08468
3606,,,Pucca,0,5405.94500,540307.65391,625210.00000
3606,,,Pucca,0,5405.94500,540268.62661,625061.83772
3606,,,Pucca,0,5405.94500,540271.59598,625053.03906
3606,,,Pucca,0,5405.94500,540419.47840,625030.88848
3606,,,Pucca,0,5405.94500,540420.09094,625115.87711
3606,,,Pucca,0,5405.94500,540419.69383,625116.27689
3606,,,Pucca,0,5405.94500,540346.20551,625116.23779
3606,,,Pucca,0,5405.94500,540346.20232,625122.23779
3606,,,Pucca,0,5405.94500,540419.73707,625122.27691
3606,,,Pucca,0,5405.94500,540420.13995,625122.67711
3606,,,Pucca,0,5405.94500,540420.49869,625172.45007
3606,,,Pucca,0,5405.94500,540420.10157,625172.84866
3606,,,Pucca,0,5405.94500,540397.82606,625172.77066
3606,,,Pucca,0,5405.94500,540397.42018,625172.36931
3606,,,Pucca,0,5405.94500,540397.10320,625150.83225
3606,,,Pucca,0,5405.94500,540391.10385,625150.92054
3606,,,Pucca,0,5405.94500,540391.50753,625178.34864
3606,,,Pucca,0,5405.94500,540391.91342,625178.75000
3606,,,Pucca,0,5405.94500,540420.14482,625178.84885
3606,,,Pucca,0,5405.94500,540420.54770,625179.25024
3606,,,Pucca,0,5405.94500,540420.76932,625210.00000
3606,,,Pucca,0,5405.94500,540421.06000,625221.40000
3606,,,Pucca,0,5405.94500,540421.09521,625223.73362
3606,,,Pucca,0,5405.94500,540421.23106,625232.73660
3606,,,Pucca,0,5405.94500,540421.73622,625266.21572
3606,,,Pucca,0,5405.94500,540421.34226,625266.61567
3606,,,Pucca,0,5405.94500,540393.81729,625266.61567
3606,,,Pucca,0,5405.94500,540393.41594,625267.01567
3606,,,Pucca,0,5405.94500,540393.37595,625278.84356
3606,,,Pucca,0,5405.94500,540397.37598,625278.84202
3606,,,Pucca,0,5405.94500,540397.40244,625271.01567
3606,,,Pucca,0,5405.94500,540397.80379,625270.61567
3606,,,Pucca,0,5405.94500,540421.40261,625270.61567
3606,,,Pucca,0,5405.94500,540421.80865,625271.01563
3606,,,Pucca,0,5405.94500,540421.90000,625277.07000
3606,,,Pucca,0,5405.94500,540422.26000,625309.38000
3606,,,Pucca,0,5405.94500,540422.35997,625312.39147
3606,,,Pucca,0,5405.94500,540421.99643,625312.92548
3606,,,Pucca,0,5405.94500,540414.39576,625315.63299
3606,,,Pucca,0,5405.94500,540413.95913,625316.16271
3606,,,Pucca,0,5405.94500,540411.48535,625332.51679
3606,,,Pucca,0,5405.94500,540411.92236,625333.67162
3606,,,Pucca,0,5405.94500,540411.29316,625339.68168
3606,,,Pucca,0,5405.94500,540410.21789,625350.51354
3606,,,Pucca,0,5405.94500,540416.70834,625350.93159
3606,,,Pucca,0,5405.94500,540417.75965,625340.34112
