ID,xcoord,ycoord
5,-8925351.363,2960290.697
5,-8925351.275,2960291.641
5,-8925351.025,2960292.555
5,-8925350.621,2960293.412
5,-8925350.076,2960294.185
5,-8925349.405,2960294.851
5,-8925348.63,2960295.39
5,-8925347.773,2960295.785
5,-8925346.861,2960296.024
5,-8925346.048,2960296.1
5,-8925319.323,2960296.564
5,-8925287.969,2960300.346
5,-8925258.936,2960317.177
5,-8925258.065,2960317.58
5,-8925257.122,2960317.825
5,-8925237.699,2960320.905
5,-8925236.967,2960320.97
5,-8925236.234,2960320.935
5,-8925235.512,2960320.801
5,-8925218.276,2960316.353
5,-8925196.377,2960315.206
5,-8925195.93,2960320.038
5,-8925195.794,2960320.845
5,-8925195.539,2960321.622
5,-8925195.171,2960322.351
5,-8925194.699,2960323.017
5,-8925156.178,2960369.462
5,-8925155.491,2960370.148
5,-8925154.716,2960370.686
5,-8925153.859,2960371.082
5,-8925152.947,2960371.321
5,-8925152.114,2960371.398
5,-8925130.701,2960371.689
5,-8925129.946,2960371.638
5,-8925129.204,2960371.482
5,-8925128.492,2960371.224
5,-8925127.823,2960370.868
5,-8925127.21,2960370.421
5,-8924911.568,2960188.925
5,-8924910.996,2960188.351
5,-8924910.895,2960188.242
5,-8924872,2960143.587
5,-8924657.638,2959967.228
5,-8924628.077,2960011.221
5,-8924548.583,2960169.779
5,-8924576.019,2960222.281
5,-8924605.193,2960272.398
5,-8924680.001,2960373.379
5,-8924732.547,2960439.653
5,-8924758.584,2960465.517
5,-8924758.948,2960465.916
5,-8924759.323,2960466.429
5,-8924773.635,2960488.653
5,-8924773.796,2960488.919
5,-8924773.976,2960489.266
5,-8924786.216,2960515.045
5,-8924786.429,2960515.56
5,-8924786.609,2960516.183
5,-8924795.964,2960557.567
5,-8924796.022,2960557.861
5,-8924796.098,2960558.806
5,-8924795.878,2960594.215
5,-8924795.806,2960595.067
5,-8924791.231,2960622.91
5,-8924791.145,2960623.314
5,-8924779.029,2960671.408
5,-8924839.208,2960673.785
5,-8924839.968,2960673.87
5,-8924840.877,2960674.121
5,-8924841.729,2960674.527
5,-8924842.498,2960675.075
5,-8924843.16,2960675.75
5,-8924843.696,2960676.529
5,-8924844.089,2960677.391
5,-8924844.327,2960678.308
5,-8924844.404,2960679.253
5,-8924844.315,2960680.197
5,-8924844.066,2960681.111
5,-8924843.662,2960681.967
5,-8924843.117,2960682.74
5,-8924842.446,2960683.406
5,-8924841.67,2960683.945
5,-8924840.813,2960684.34
5,-8924839.901,2960684.58
5,-8924838.962,2960684.657
5,-8924838.783,2960684.652
5,-8924776.937,2960682.21
5,-8924768.893,2960751.335
5,-8924787.613,2960757.955
5,-8924874.905,2960759.314
5,-8924875.794,2960759.402
5,-8924876.703,2960759.653
5,-8924877.555,2960760.059
5,-8924878.324,2960760.608
5,-8924878.986,2960761.282
5,-8924879.522,2960762.062
5,-8924879.915,2960762.923
5,-8924880.153,2960763.841
5,-8924880.23,2960764.785
5,-8924880.142,2960765.729
5,-8924879.892,2960766.643
5,-8924879.488,2960767.5
5,-8924878.943,2960768.273
5,-8924878.272,2960768.939
5,-8924877.496,2960769.477
5,-8924876.639,2960769.873
5,-8924875.727,2960770.112
5,-8924874.763,2960770.189
5,-8924786.565,2960768.816
5,-8924785.677,2960768.728
5,-8924784.854,2960768.508
5,-8924769.115,2960762.941
5,-8924771.457,2960790.701
5,-8924771.476,2960791.195
5,-8924771.461,2960791.577
5,-8924767.886,2960838.442
5,-8924758.123,2960927.116
5,-8924882.187,2960932.68
5,-8924882.729,2960932.677
5,-8924966.788,2960927.911
5,-8924992.843,2960885.702
5,-8924985.372,2960852.123
5,-8924985.318,2960851.846
5,-8924985.241,2960850.901
5,-8924985.329,2960849.958
5,-8924985.579,2960849.044
5,-8924985.983,2960848.187
5,-8924986.256,2960847.765
5,-8925032.185,2960783.417
5,-8925038.077,2960699.874
5,-8925038.171,2960699.176
5,-8925038.355,2960698.497
5,-8925038.624,2960697.847
5,-8925081.737,2960610.251
5,-8925081.917,2960609.914
5,-8925082.463,2960609.141
5,-8925083.134,2960608.475
5,-8925083.909,2960607.937
5,-8925084.766,2960607.541
5,-8925085.678,2960607.302
5,-8925086.618,2960607.225
5,-8925087.556,2960607.313
5,-8925088.465,2960607.565
5,-8925089.317,2960607.97
5,-8925090.086,2960608.519
5,-8925090.748,2960609.193
5,-8925091.284,2960609.973
5,-8925091.677,2960610.835
5,-8925091.916,2960611.752
5,-8925091.992,2960612.697
5,-8925091.904,2960613.64
5,-8925091.654,2960614.554
5,-8925091.431,2960615.074
5,-8925048.791,2960701.711
5,-8925042.866,2960785.721
5,-8925042.762,2960786.464
5,-8925042.558,2960787.184
5,-8925042.257,2960787.87
5,-8925041.865,2960788.507
5,-8924996.456,2960852.126
5,-8925003.881,2960885.495
5,-8925003.935,2960885.772
5,-8925004.012,2960886.717
5,-8925003.923,2960887.66
5,-8925003.674,2960888.574
5,-8925003.27,2960889.431
5,-8925003.198,2960889.55
5,-8924979.56,2960927.843
5,-8925009.89,2960928.157
5,-8925010.807,2960928.245
5,-8925011.716,2960928.496
5,-8925012.568,2960928.902
5,-8925013.336,2960929.451
5,-8925013.999,2960930.125
5,-8925014.535,2960930.905
5,-8925014.928,2960931.766
5,-8925015.166,2960932.684
5,-8925015.242,2960933.628
5,-8925015.154,2960934.572
5,-8925014.905,2960935.486
5,-8925014.501,2960936.343
5,-8925013.955,2960937.116
5,-8925013.285,2960937.782
5,-8925012.509,2960938.321
5,-8925011.652,2960938.716
5,-8925010.74,2960938.955
5,-8925009.79,2960939.032
5,-8924970.202,2960938.607
5,-8924969.859,2960938.623
5,-8924886.073,2960943.367
5,-8924868.847,2960981.862
5,-8924868.581,2960982.379
5,-8924868.426,2960982.629
5,-8924837.991,2961028.926
5,-8924837.6,2961029.449
5,-8924837.027,2961030.032
5,-8924786.513,2961074.174
5,-8924786.415,2961074.257
5,-8924786.133,2961074.477
5,-8924763.907,2961090.628
5,-8924760.899,2961106.971
5,-8924740.074,2961220.122
5,-8924735.064,2961274.861
5,-8924734.999,2961275.341
5,-8924734.932,2961275.653
5,-8924728.08,2961303.862
5,-8924727.947,2961304.323
5,-8924710.402,2961356.2
5,-8924709.949,2961357.167
5,-8924693.446,2961384.421
5,-8924693.047,2961384.994
5,-8924675.664,2961406.804
5,-8924675.213,2961407.29
5,-8924652.43,2961428.995
5,-8924652.166,2961429.231
5,-8924508.728,2961549.024
5,-8924444.18,2961606.566
5,-8924258.022,2961771.803
5,-8924346.331,2961878.95
5,-8924346.867,2961879.73
5,-8924347.26,2961880.592
5,-8924347.498,2961881.509
5,-8924347.574,2961882.454
5,-8924347.486,2961883.397
5,-8924347.237,2961884.311
5,-8924346.833,2961885.168
5,-8924346.287,2961885.941
5,-8924345.616,2961886.607
5,-8924344.841,2961887.146
5,-8924343.984,2961887.541
5,-8924343.072,2961887.781
5,-8924342.132,2961887.857
5,-8924341.193,2961887.769
5,-8924340.284,2961887.518
5,-8924339.432,2961887.112
5,-8924338.663,2961886.563
5,-8924338.001,2961885.889
5,-8924249.697,2961778.748
5,-8924198.593,2961818.79
5,-8924263.32,2961895.06
5,-8924263.881,2961895.87
5,-8924264.274,2961896.732
5,-8924264.513,2961897.649
5,-8924264.589,2961898.594
5,-8924264.501,2961899.538
5,-8924264.251,2961900.452
5,-8924263.847,2961901.308
5,-8924263.302,2961902.081
5,-8924262.631,2961902.748
5,-8924261.855,2961903.286
5,-8924260.998,2961903.682
5,-8924260.086,2961903.921
5,-8924259.146,2961903.998
5,-8924258.208,2961903.909
5,-8924257.299,2961903.658
5,-8924256.447,2961903.252
5,-8924255.678,2961902.703
5,-8924255.066,2961902.09
5,-8924189.987,2961825.407
5,-8924140.655,2961862.871
5,-8924139.913,2961863.344
5,-8924139.104,2961863.69
5,-8924056.067,2961891.46
5,-8924055.265,2961891.661
5,-8924054.698,2961891.727
5,-8924009.339,2961894.583
5,-8924008.945,2961894.594
5,-8923924.083,2961893.356
5,-8923923.447,2961994.617
5,-8923923.379,2961995.443
5,-8923923.187,2961996.249
5,-8923922.876,2961997.016
5,-8923922.452,2961997.726
5,-8923917.357,2962004.959
5,-8923916.846,2962005.581
5,-8923916.248,2962006.121
5,-8923915.578,2962006.565
5,-8923909.009,2962010.178
5,-8923908.198,2962010.541
5,-8923907.338,2962010.765
5,-8923906.454,2962010.845
5,-8923854.418,2962011.237
5,-8923853.442,2962011.148
5,-8923852.533,2962010.897
5,-8923851.681,2962010.491
5,-8923850.912,2962009.943
5,-8923850.25,2962009.268
5,-8923849.714,2962008.488
5,-8923849.321,2962007.626
5,-8923849.082,2962006.709
5,-8923849.006,2962005.764
5,-8923849.094,2962004.821
5,-8923849.344,2962003.907
5,-8923849.748,2962003.05
5,-8923850.294,2962002.277
5,-8923850.964,2962001.611
5,-8923851.74,2962001.072
5,-8923852.597,2962000.677
5,-8923853.509,2962000.437
5,-8923854.374,2962000.361
5,-8923905.012,2961999.979
5,-8923909.252,2961997.648
5,-8923912.641,2961992.837
5,-8923913.266,2961893.417
5,-8923796.432,2961896.386
5,-8923796.347,2961896.385
5,-8923780.794,2961896.287
5,-8923683.993,2961895.671
5,-8923627.287,2961895.309
5,-8923626.452,2961896.99
5,-8923562.273,2962027.332
5,-8923562.16,2962027.73
5,-8923535.148,2962123.145
5,-8923535.007,2962123.615
5,-8923534.059,2962126.617
5,-8923537.739,2962130.675
5,-8923671.579,2962131.226
5,-8923672.524,2962131.314
5,-8923673.433,2962131.566
5,-8923674.285,2962131.972
5,-8923675.054,2962132.52
5,-8923675.716,2962133.195
5,-8923676.252,2962133.975
5,-8923676.645,2962134.836
5,-8923676.884,2962135.754
