"ID","xcoord","ycoord"
"1","540530.0","628334.0"
"0","540547.0","627867.0"
"0","540547.0","627866.0"
"0","540547.0","627868.0"
"1","540481.0","628251.0"
"1","540432.0","628162.0"
"1","540367.0","627751.0"
"1","540498.0","627871.0"
"1","540498.0","627872.0"
"1","540498.0","627873.0"
"1","540498.0","627874.0"
"1","540498.0","627875.0"
"1","540498.0","627876.0"
"1","540416.0","627963.0"
"1","540416.0","627962.0"
"1","540416.0","627961.0"
"1","540416.0","627960.0"
"1","540416.0","627959.0"
"1","540416.0","627958.0"
"1","540416.0","627957.0"
"1","540416.0","627956.0"
"1","540367.0","627800.0"
"1","540367.0","627798.0"
"1","540367.0","627799.0"
"1","540383.0","628172.0"
"1","540416.0","628030.0"
"1","540514.0","628274.0"
"0","540416.0","628032.0"
"0","540449.0","627934.0"
"0","540449.0","627865.0"
"0","540449.0","627866.0"
"0","540449.0","627867.0"
"0","540449.0","627868.0"
"1","540416.0","628181.0"
"1","540416.0","628180.0"
"0","540269.0","627809.0"
"0","540269.0","627811.0"
"0","540269.0","627810.0"
"1","540482.0","627873.0"
"1","540236.0","628080.0"
"1","540236.0","628081.0"
"1","540236.0","628083.0"
"1","540236.0","628077.0"
"1","540236.0","628078.0"
"1","540236.0","628079.0"
"1","540400.0","628021.0"
"1","540400.0","628020.0"
"1","540400.0","628019.0"
"1","540400.0","628018.0"
"1","540400.0","628017.0"
"1","540400.0","628016.0"
"1","540400.0","628015.0"
"1","540531.0","628275.0"
"1","540482.0","628253.0"
"1","540466.0","627871.0"
"0","540400.0","628351.0"
"0","540400.0","628350.0"
"1","540531.0","628331.0"
"1","540531.0","628330.0"
"1","540515.0","627949.0"
"1","540531.0","628333.0"
"1","540515.0","627948.0"
"1","540531.0","628332.0"
"1","540515.0","627951.0"
"1","540531.0","628335.0"
"1","540515.0","627950.0"
"1","540531.0","628334.0"
"1","540515.0","627953.0"
"1","540515.0","627952.0"
"1","540531.0","628336.0"
"1","540515.0","627954.0"
"1","540351.0","628140.0"
"1","540351.0","628139.0"
"0","540400.0","628355.0"
"0","540400.0","628354.0"
"0","540400.0","628353.0"
"0","540548.0","627865.0"
"0","540548.0","627867.0"
"0","540548.0","627868.0"
"1","540368.0","627764.0"
"1","540499.0","627871.0"
"1","540499.0","627872.0"
"1","540499.0","627873.0"
"1","540499.0","627874.0"
"1","540499.0","627875.0"
"1","540499.0","627876.0"
"1","540499.0","627877.0"
"1","540499.0","627878.0"
"1","540499.0","627880.0"
"1","540417.0","627963.0"
"1","540417.0","627962.0"
"1","540417.0","627961.0"
"1","540417.0","627960.0"
"1","540417.0","627959.0"
"1","540417.0","627958.0"
"1","540417.0","627957.0"
"1","540368.0","627800.0"
"1","540368.0","627798.0"
"1","540368.0","627799.0"
"1","540368.0","627796.0"
"1","540368.0","627797.0"
"1","540368.0","627795.0"
"0","540417.0","628032.0"
"0","540417.0","628031.0"
"0","540450.0","627866.0"
"0","540450.0","627867.0"
"0","540450.0","627868.0"
"0","540450.0","627869.0"
"1","540417.0","628183.0"
"1","540417.0","628182.0"
"1","540417.0","628181.0"
"1","540417.0","628180.0"
"1","540417.0","628179.0"
"1","540417.0","628184.0"
"1","540237.0","628080.0"
"1","540237.0","628081.0"
"1","540237.0","628082.0"
"1","540237.0","628083.0"
"1","540237.0","628076.0"
"1","540237.0","628077.0"
"1","540237.0","628078.0"
"1","540237.0","628079.0"
"1","540237.0","628075.0"
"1","540401.0","628022.0"
"1","540401.0","628021.0"
"1","540401.0","628020.0"
"1","540401.0","628019.0"
"1","540401.0","628018.0"
"1","540401.0","628017.0"
"1","540401.0","628016.0"
"1","540401.0","628015.0"
"0","540499.0","628336.0"
"0","540483.0","628251.0"
"1","540352.0","628138.0"
"0","540483.0","628252.0"
"1","540352.0","628139.0"
"1","540516.0","627949.0"
"1","540516.0","627948.0"
"1","540516.0","627951.0"
"1","540516.0","627950.0"
"1","540516.0","627953.0"
"1","540483.0","628185.0"
"1","540516.0","627952.0"
"1","540516.0","627954.0"
"0","540401.0","628355.0"
"0","540401.0","628354.0"
"1","540516.0","627956.0"
"0","540401.0","628352.0"
"0","540401.0","628351.0"
"0","540401.0","628350.0"
"0","540401.0","628349.0"
"1","540434.0","628107.0"
"0","540549.0","627905.0"
"0","540549.0","627904.0"
"0","540549.0","627906.0"
"1","540565.0","628299.0"
"0","540549.0","627865.0"
"0","540549.0","627867.0"
"0","540549.0","627866.0"
"0","540549.0","627868.0"
"1","540369.0","627798.0"
"1","540500.0","627872.0"
"1","540369.0","627799.0"
"1","540500.0","627873.0"
"1","540369.0","627796.0"
