ID,ROAD_NAME,ROAD_NO,ROAD_TYPE,ROAD_WIDTH,LENGTH,xcoord,ycoord
1340,,,Pucca,0,223324.80100,538770.23288,627263.09198
1340,,,Pucca,0,223324.80100,538794.05549,627264.40900
1340,,,Pucca,0,223324.80100,538796.28512,627262.82819
1340,,,Pucca,0,223324.80100,538797.19248,627262.56175
1340,,,Pucca,0,223324.80100,538826.71200,627263.90600
1340,,,Pucca,0,223324.80100,538967.24300,627271.25700
1340,,,Pucca,0,223324.80100,538988.66600,627273.30300
1340,,,Pucca,0,223324.80100,538990.85683,627275.28908
1340,,,Pucca,0,223324.80100,539010.52573,627276.37646
1340,,,Pucca,0,223324.80100,539011.00700,627275.69700
1340,,,Pucca,0,223324.80100,539016.23000,627273.74200
1340,,,Pucca,0,223324.80100,539017.10811,627273.78775
1340,,,Pucca,0,223324.80100,539101.84200,627278.20200
1340,,,Pucca,0,223324.80100,539275.00000,627287.63970
1340,,,Pucca,0,223324.80100,539323.07600,627290.26000
1340,,,Pucca,0,223324.80100,539354.80600,627292.06900
1340,,,Pucca,0,223324.80100,539360.20400,627292.56600
1340,,,Pucca,0,223324.80100,539362.52700,627293.55600
1340,,,Pucca,0,223324.80100,539365.13900,627295.44100
1340,,,Pucca,0,223324.80100,539368.43500,627298.77300
1340,,,Pucca,0,223324.80100,539371.09400,627303.12200
1340,,,Pucca,0,223324.80100,539373.57658,627309.37825
1340,,,Pucca,0,223324.80100,539373.76307,627310.34300
1340,,,Pucca,0,223324.80100,539373.78600,627315.88200
1340,,,Pucca,0,223324.80100,539368.13800,627395.53400
1340,,,Pucca,0,223324.80100,539355.87415,627569.57124
1340,,,Pucca,0,223324.80100,539355.45447,627570.38959
1340,,,Pucca,0,223324.80100,539355.22785,627570.57793
1340,,,Pucca,0,223324.80100,539352.80387,627596.86878
1340,,,Pucca,0,223324.80100,539353.23286,627597.39304
1340,,,Pucca,0,223324.80100,539353.51596,627598.27887
1340,,,Pucca,0,223324.80100,539346.26300,627706.15300
1340,,,Pucca,0,223324.80100,539344.62371,627730.00000
1340,,,Pucca,0,223324.80100,539341.82851,627770.66237
1340,,,Pucca,0,223324.80100,539332.26500,627903.38300
1340,,,Pucca,0,223324.80100,539328.87800,627954.25400
1340,,,Pucca,0,223324.80100,539326.59400,627962.06700
1340,,,Pucca,0,223324.80100,539324.09382,627965.47390
1340,,,Pucca,0,223324.80100,539323.36569,627966.12821
1340,,,Pucca,0,223324.80100,539320.97431,627967.51779
1340,,,Pucca,0,223324.80100,539320.04370,627967.72775
1340,,,Pucca,0,223324.80100,539319.34144,627967.66962
1340,,,Pucca,0,223324.80100,539318.26192,627982.83097
1340,,,Pucca,0,223324.80100,539318.29299,627982.83364
1340,,,Pucca,0,223324.80100,539321.58000,627983.11600
1340,,,Pucca,0,223324.80100,539324.32500,627984.25700
1340,,,Pucca,0,223324.80100,539325.58237,627985.69105
1340,,,Pucca,0,223324.80100,539325.86995,627986.56523
1340,,,Pucca,0,223324.80100,539321.75100,628035.36700
1340,,,Pucca,0,223324.80100,539320.63174,628045.07768
1340,,,Pucca,0,223324.80100,539319.45347,628062.32636
1340,,,Pucca,0,223324.80100,539318.29299,628079.97602
1340,,,Pucca,0,223324.80100,539315.22110,628126.69585
1340,,,Pucca,0,223324.80100,539313.74885,628146.93814
1340,,,Pucca,0,223324.80100,539311.61444,628176.28456
1340,,,Pucca,0,223324.80100,539330.78587,628174.61748
1340,,,Pucca,0,223324.80100,539332.79904,628146.93814
1340,,,Pucca,0,223324.80100,539334.15427,628128.30481
1340,,,Pucca,0,223324.80100,539344.05664,628057.62336
1340,,,Pucca,0,223324.80100,539346.69572,628045.00000
1340,,,Pucca,0,223324.80100,539347.32371,628038.22729
1340,,,Pucca,0,223324.80100,539347.84669,628032.06921
1340,,,Pucca,0,223324.80100,539348.10605,628031.12057
1340,,,Pucca,0,223324.80100,539353.67795,628019.55743
1340,,,Pucca,0,223324.80100,539354.22809,628018.73411
1340,,,Pucca,0,223324.80100,539359.91941,628012.36275
1340,,,Pucca,0,223324.80100,539360.68753,628011.74338
1340,,,Pucca,0,223324.80100,539373.84992,628004.28578
1340,,,Pucca,0,223324.80100,539376.81151,628003.22878
1340,,,Pucca,0,223324.80100,539381.69909,628002.40308
1340,,,Pucca,0,223324.80100,539436.81233,627993.09229
1340,,,Pucca,0,223324.80100,539454.65828,627990.16537
1340,,,Pucca,0,223324.80100,539536.50155,627976.28482
1340,,,Pucca,0,223324.80100,539644.90540,627958.61071
1340,,,Pucca,0,223324.80100,539741.11737,627941.25577
1340,,,Pucca,0,223324.80100,539835.77810,627925.03051
1340,,,Pucca,0,223324.80100,539844.71398,627924.42025
1340,,,Pucca,0,223324.80100,539880.43156,627925.87811
1340,,,Pucca,0,223324.80100,539900.29401,627927.00814
1340,,,Pucca,0,223324.80100,539905.62232,627929.82901
1340,,,Pucca,0,223324.80100,539909.88777,627935.07196
1340,,,Pucca,0,223324.80100,539911.77586,627973.14309
1340,,,Pucca,0,223324.80100,539912.41283,627999.83299
1340,,,Pucca,0,223324.80100,539913.48679,628044.83299
1340,,,Pucca,0,223324.80100,539914.03240,628074.72125
1340,,,Pucca,0,223324.80100,539915.39387,628133.18834
1340,,,Pucca,0,223324.80100,539915.79737,628146.93814
1340,,,Pucca,0,223324.80100,539916.93963,628185.86212
1340,,,Pucca,0,223324.80100,539921.59624,628224.01983
1340,,,Pucca,0,223324.80100,539934.65242,628324.78892
1340,,,Pucca,0,223324.80100,539938.46679,628355.12054
1340,,,Pucca,0,223324.80100,539947.87223,628429.91192
1340,,,Pucca,0,223324.80100,539962.27335,628544.44147
1340,,,Pucca,0,223324.80100,539988.18085,628761.36288
1340,,,Pucca,0,223324.80100,539999.95358,628870.95067
1340,,,Pucca,0,223324.80100,540004.83125,628905.07087
1340,,,Pucca,0,223324.80100,539997.42066,628965.96082
1340,,,Pucca,0,223324.80100,539976.99398,629161.37028
1340,,,Pucca,0,223324.80100,539971.84597,629240.94626
1340,,,Pucca,0,223324.80100,539991.70425,629243.78316
1340,,,Pucca,0,223324.80100,539996.92672,629163.05618
1340,,,Pucca,0,223324.80100,540002.92532,629105.67125
1340,,,Pucca,0,223324.80100,540028.95322,629111.80510
1340,,,Pucca,0,223324.80100,540070.68290,629121.79799
1340,,,Pucca,0,223324.80100,540118.41635,629132.04466
1340,,,Pucca,0,223324.80100,540166.68409,629144.68320
1340,,,Pucca,0,223324.80100,540204.49326,629151.47170
1340,,,Pucca,0,223324.80100,540235.23554,629157.08368
1340,,,Pucca,0,223324.80100,540250.00000,629160.36124
1340,,,Pucca,0,223324.80100,540250.00000,629160.44903
1340,,,Pucca,0,223324.80100,540288.73000,629168.23000
